"","prod","title","author","date","ver.purchase","format","stars","comments","helpful"
"11","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","best purchase I ever made on Amazon","bss","November 20, 2017",1,"Silver",5,"iPhone X came brand new and sealed. Immediately opened and turned the iPhone on. After taking sim card out of my current iphone and placing it into the X, it worked perfectly! I was a little nervous given about spending as much as I did from a seller I hadn't heard of, but it was the best thing I ever did!",12
"12","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","Rate the phone not the price","Omar","November 8, 2017",0,"Space Gray",4,"I think people need to comprehend if they are reviewing the price OR THE PEFORMANCE OF THE PHONE.  You can’t give a crappy review because you don’t like the price.As for me I’m pretty much bleh towards the phone.  Have had it almost a week and I guess it was worth 1000.  If it disappeared tomorrow and I had to go back to my 6s plus, don’t think I would bat an eye.  But I cannot say that it is full of bugs and issues.  Does take some getting used to on no home button but have not had any problems with mine.  Would also suggest the lifeproof next case.  Otterbox was junk in terms of how the side buttons would respond.  Lifeproof slam doesn’t cover the charging port and really doesn’t have much water repelleing properties (yes I know the X aready has water resistant properties).  Life proof next covers all ports and really works greatwith the side buttons.  Plus clear back shows the exterior of the phone nicely.",9
"13","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","pLZ BUy THesEyEPFoNE","Another shopper","November 14, 2017",0,"Space Gray",5,"sO APo0RDIAbLE aND iT wORk. I!T dE3F!nETlIY wORtH DThE mON3Y",43
"14","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","My Best Iphone","Jose Antonio Perez","December 29, 2017",1,"Space Gray",5,"It is the best iphone I've ever had, I've had Iphone 5, 5s, 6, 6S Plus, 7 PlusThis is by far the better, right size, nice presentation, fast, good new features.New gestures to activate but not problema at all, I learnt them very fast",2
"15","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","Phone of the year!!","Marcus Jackson","November 9, 2017",0,"Silver",5,"iPhone X review: This is me telling what it has been like with the iPhone X the past six days of me using the device.Feel of device: Great feel to the device , the glass back makes the device less slippery but also trades off for more fingerprints. The glass back makes it heavier then the iPhone 7 but I like that because it’s feels more premium to the hand.Battery: The battery has but ok for the phone size , in a heavy user can I can get 10 hours out of the device with 5 sot. So I would it’s good battery life but it could be better if apple give us a bigger battery. Light user will get through a full day with no problem.Screen : What can I say this screen is the best one to touch an iPhone yet! I lover the way everything just pops at you with this display . It’s on par with the Note 8 screen if not better from my personal believe. This screen is longer then the one on the 7 plus but it is not as wide as that screen and I like that but many people do not! It feels better in my hand with the more narrow screen.Speakers: They are very loud compared to my iPhone 7 Plus big upgrade. I keep them around 70% volume. It’s very clear and crisp ! They ear speaker at the top is about loud as the bottom fire speaker now  ! That’s no exaggeration  neither.No Touch ID: I forget about it completely but I did see myself reaching for it the first two days of use.Face ID: I’m loving it so far! It was a learning curve though you can’t put it to close or to far away from your face. I found the elbow length away from your face is the perfect position. It does work in complete darkness I tested this while and a closet a night time lol.Cameras: if you had the iPhone 7 like me the iPhone X cameras are a slight improvement with quality, The stabilization is what has improved greatly ! Everybody that has shakey hands recording I’m glad to say the iPhone X is your cure. Portrait mode is great when it works ! You have to have perfectly lighting and also have to be close to the phone for it to work I hate that . When you do it get to work the results are amazing to say the least.The notch: Your eyes will naturally start to ignore it if it’s not even there.Overall experience: I’m liking this device and enjoying everything about , the multitasking is better now because you can just switch through apps from a left swipe from bottom of screen, One thing that is keeping me from recommending this phone is the price tag. No phone should cost $1,000 and I urge anyone only to buy this phone if you can get it at a discount and if you can get it at a bargain I would tell everybody to try the iPhone X out for a go!!",8
"16","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","Excellent Phone!","Angel Mena","November 13, 2017",1,"Space Gray",5,"The phone arrived in perfect condition. Well packaged and satisfying to unbox. Brand new and sealed!",6
"17","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","Don’t upgrade, it’s a downgrade","rossco","December 6, 2017",0,"Space Gray",1,"It’s slower to start up and the facial recognition only works part of the time.  No home button just means form over function.  The iOS is buggy and hangs up when you switch between apps.",4
"18","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","Someone with five helpful reviews stated that the iPhone for ...","iamcloud","November 26, 2017",0,"Space Gray",4,"Someone with five helpful reviews stated  that the iPhone for sale here is fake using the evidence that the iPhone on the back say iPhone X, this is completely untrue if you go to the Apple site and look at the back of the phone it just says iPhone.",2
"19","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","LLC I love this phone","Trinidad Amazon Customer","December 15, 2017",1,"Space Gray",5,"Apple iPhone X, GSM Unlocked 5.8"", 64 GB - Space GraySold by: Aimsky, LLCI love this phone! this is my first apple product (android fanboy my entire life google products only).",1
"20","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","Authentic seller!","sahil","December 4, 2017",1,"Space Gray",5,"Unlocked, sealed and fast shipping. Just what I had paid for. Thanks!",1
"21","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","Awesome phone! Just ship things on time next time","deo","November 22, 2017",1,"Silver",5,"Awesome phone!Just ship things on time next time.",3
"22","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","Great Purchase!","Jose","December 8, 2017",1,"Silver",5,"As expected. The product was brand new as if I bought from apple, included everything that is said to be included. No need to worry, it is not fake. It’s unlocked, but the original phone. The phone itself is a huge upgrade from the iPhone 5s. The camera is better than most new phone cameras (4K), Face ID works great for me, the all glass design is fragile, but a good case can protect it from a fall. Overall I think it is worth the price mainly because it has the best iPhone camera, the Animoji’s are worth it, and because it’s unique people immediately will know it’s an iPhone X just from looking at  the back of it. I’m happy with my purchase, I’m loving it and this phone will sure last me awhile.",1
"23","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","Amazing","PSH","November 22, 2017",1,"Space Gray",5,"Great buy. Sealed pack",1
"24","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","Five Stars","bruce anderson","December 19, 2017",1,"Silver",5,"Great product",1
"25","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","nice","Aaron Seman","December 1, 2017",0,"Space Gray",5,"iPhone X came brand new and sealed. Immediately opened and turned the iPhone on. After taking sim card out of my current iphone and placing it into the X, it worked perfectly! I was a little nervous given about spending as much as I did from a seller I hadn't heard of, but it was the best thing I ever did!",1
"26","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","Five Stars","Amazon Customer","December 13, 2017",1,"Space Gray",5,"Nice phone and it’s real, now I just write this review with this phone!🤙",2
"27","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","screen dimensions and format are terrible, worse than any previous phones","Michael S. Burridge","December 16, 2017",0,"Silver",2,"The phone was quick to overheat during i cloud backups, most buggy iphone i ever had, screen dimensions and format are terrible, worse than any previous phones, curved edges and notch at top gove you less surface than th8 plus and in some cases maybe even thr 8, app developers yet to optimize apps, wasted space at bottom of phone and top as apps and even imessages dont use it.",1
"28","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","Good product  (WebOs 2017)  New palm pre","Spoilers21","November 18, 2017",1,"Space Gray",5,"Product came is the package as desscribed within two days.  I have no issues phone works great I am enjoying it.  coming off of a Samsung 8+ And a gear S2.  Took a couple of days to get used to the gestures again (webos).  Overall a good product.  And five stars to the seller",2
"29","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","Five Stars","Adam","November 18, 2017",1,"Space Gray",5,"Just received mines it’s amazing",2
"30","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","Beautiful phone and perfect transaction","Ravindar B.","November 17, 2017",1,"Silver",5,"Perfect phone and perfect transaction - A+++ vendor. Thank you",4
"31","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","Five Stars","Xaymara melendez","December 4, 2017",1,"Space Gray",5,"Shipping arrive one time phone was brand new in a seal box",2
"32","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","No Stars for the iPhone X........ buyer beware........","FrankMD","December 7, 2017",0,"Space Gray",1,"I upgraded from the iPhone 6+ to the X at full price through AT&T. It took nearly 6 weeks to receive. It is significantly small than the iPhone 6 plus by size. The actual screen dimensions is about the same. Yes, the color is somewhat brighter but the clarity and brightness is not (even with adjustments). Simple to set up and outside of no home button (swipe up), it is essentially the same layout. I would agree with other reviewers, it is no faster than the older model. The camera does produce a nicer photo but is this device worth $1300 for a better camera? I do not think so. You could purchase an even nicer camera for less. Facial recognition is fair to good but far from perfect. I ended up switching to digital security since I use the phone for work. I need as close to absolute security as possible. Speaker sound is better in volume and clarity. As you go from screen to screen (different applications), you can literally feel the phone shake like one use to feel hard drives activate in older laptops. I do not know what is up with this since in all my previous iPhones I never felt any mechanical movement from the phone itself. Everything works appropriately but this brief vibration is more annoying to me than the absence of the home button and being able to turn the phone off my pressing one button instead of two. Bad workmanship to engineering. Bottom line: if you do not absolutely have to upgrade your phone or you are not receiving the phone free (AT&T is giving a free iPhone 8 with an added line), then I would wait for the next generation. A larger phone is anticipated with the ""X"" features but I must admit I find the ""X"" is under-featured when it comes to being a pivotal new generation of iPhones. The iPhone X is anything but pivotal, ground breaking (outside of dropping it, it will indeed break) or full of new useful features you do not already have on your current iPhone. Even if I had to upgrade I would go with the iPhone 8 plus over the ""X"" since you keep the home button and larger size is nice for jacket pocket and those with bigger hands. To say I am disappointed in the iPhone X is an understatement. I have monitors which are more impressive than this phone's screen and cost a third of this phone. In my world, I have already abandoned the Apple laptops and iMacs for my workplace and home for similar unimpressive advancements in technology. I am now going to do the same with my phones as well. Will try Samsung and other models for the future. Apple is loosing their magic touch since the loss of Steve Jobs. Some individuals do indeed make a company great. I have little doubt Jobs would have been very unhappy with this iPhone and would never have released it but made the company wait 6-12 months to have something truly better than the status quo. Otherwise it is my conviction this model was put out to make money and all of us fools who fell for this are now truly paying the price. This is a turning point for me with Apple. I am done with their products. I am done with iTunes (music). ""Alexa, never order any more Apple products for me! And please play current hits and call my office.""",14
"33","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","Great phone. I love it","Amazon Customer","December 17, 2017",1,"Space Gray",5,"Great phone. I love it. I need iphone for my business so im buying for show off. Works great and thats what i need. Thank u",1
"34","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","Five Stars","Kamel kader ortiz","November 14, 2017",1,"Space Gray",5,"Thankx",2
"35","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","Almost alien","Eugene","December 8, 2017",0,"Space Gray",5,"Best iPhone ever",NA
"36","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","First impressions after a week of use","Armen","November 26, 2017",0,"Space Gray",4,"Unlike the iPhone 8 Plus, here the camera module has sharp edges and is positioned vertically.When the device is on the table, on the back, it actually always lies on the camera module and if you press the housing, it starts walking on a flat surface. The dimensions of the device are such that it is wide and quite noticeably cuts into the hand. The back panel is made of tempered glass, as well as the front panel covering the screen with oleophobic coating, but the marks from the hands are clearly visible. The glass panel behind is needed for wireless charging. On the left side there is a lever, which includes a noiseless mode, below - two volume keys. On the right side, the on / off button (in fact, it's now unlocking and calling Siri), just below - the tray for the nanoSIM card. At the bottom of the right is the speaker, the second speaker is on the front panel above the screen. They work in pairs, and the volume of the sound is different, for this parameter iPhone X can give odds to many flagships, and I like it in this aspect. The microphone is on the bottom end, and also at the camera block behind. At the top end, the microphone was not placed. The noise reduction system works medium, in noisy conditions your interlocutor hears strange sounds. Places for the percentage of battery power on the display just do not.In iPhone X, the battery charge is very quickly consumed during voice calls, which is not typical for such devices.Unlike a fingerprint, you can register only one person. No way to share the phone with biometrics, only a password that can be passed on to someone.In practice, face recognition is quickly adjusted.When driving the iPhone X, the phone holder will have to be strongly shifted to the left to the handlebar, and also tilt it towards the face, otherwise no recognition occurs.I really like how the device records video (especially 4K at a rate of 60 frames per second), but this video can only be viewed on the device itself, since a new compression format is used, when transmitting all video is converted. In the maximum resolution mode, the sound is written to one microphone.In iPhone X changed the interface and it will take a little time to get used to the lack of the ""Home"" key.",1
"37","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","Expensive but worth it","Wade Ferguson","December 18, 2017",1,"Space Gray",5,"It’s a great phone",1
"38","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","Five Stars","MelJoe","December 25, 2017",1,"Space Gray",5,"LOVE IT",NA
"39","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","Sample!!","Burke","November 27, 2017",0,"Space Gray",5,"Hey there I am a YouTubed and I am wanting to do a video over the new iPhone X I would like a free sample please thank you!!",NA
"40","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","Seems like a great product and I would really enjoy a ...","Amazon Customer","December 12, 2017",0,"Space Gray",5,"Seems like a great product and I would really enjoy a free sample of this product to test and promote this product",NA
"41","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","This is the worst iPhone I’ve had the miss fortune of having","Amazon Customer","December 18, 2017",0,"Space Gray",1,"This is the worst iPhone I’ve had the miss fortune of having. It malfunctions all the time and doesn’t work all the time when you press simple radio buttons for the flash light, very frustrating. Pictures are good, but so are the 7.",3
"42","Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray","Five Stars","Emily Claire Landis","January 13, 2018",0,"Silver",5,"i would love to review your product!!",NA
