,stars,comments
98,5,I have found the transition from the iPhone 6s to the 8 very easy.
99,4,Upgraded from an iPhone 7. iPhone 8 is a good upgrade with more memory. Got great service from Best Buy
100,5,I like my iPhone 8 Plus. Takes better pics than my 6s. Don’t regret this purchase at all!
101,5,I love the sound and love the camera. It's the best phone I ever had.
102,5,Love the feel of the phone and the grip with out a case. Love the phone the way it performs.
103,5,Looking for a new iPhone 8 Plus in the gold color and was having a hard time finding one. Finally found one in your store. Bought it on the spot. The ring tone seems to be a little louder than on my old iPhone 6S Plus. That really helps.
104,5,"As a avid Apple fan I upgraded my phone to the 8 to take advantages of their new features I didn’t have in my old phone. Live pictures!!! I love it, they are fun to take and edit when you want a completely different look. The phone is faster than my old, holds more memory and still light to carry."
105,5,"Amazing pics, amazing sound quality, just amazing phone overall."
106,4,iPhone 8 the best feature is the battery life it far exceeds past iPhones. It is faster and the best thing is I got this one free when I bought a IPhone X
107,4,Nice phone i brought for someone and I’m buying a second one for my boy for school
108,5,Good phone and does all I need and would recommend to a friend.
109,5,"Outstanding camera, loads of storage and fast. I have a hundred or so apps and are always running fast and efficiently for me. Good support at Best Buy in store and very helpful on telephone"
110,5,So much faster than 6 plus. The camera quality is great
111,5,Not too much different than the iPhone 7 Plus. A few better features.
112,4,Love it. Love it! No problems with activation.....
113,5,"Just a great product, the phone and it’s new updates are just great!"
114,4,I upgraded from a 6s to an iPhone 8. The iPhone 8 is much faster then the 6.
115,5,Phone is much faster than previous model!. New software that comes with this model seems to react faster and more efficiently.
116,5,This phone has everything that I need. I’ve had no problems so far.
117,5,Love my new iPhone 8. The camera takes amazing photos and it is so much faster than the 6
118,4,I've been an iPhone user for years now. While I can't imagine changing to any other brand I have to admit that the iPhone 8 isnt quite as different as I though it would be. I have noticed however the battery life is a lot longer and the camera is much better than my last one. Overall I am still quite satisfied.
119,4,"Like any other Apple upgrade, this one has few updates and works just fine!"
120,5,I love my new phone! It is a great upgrade from my 6S. I love that Best Buy offers protection & I was able to pay off my old phone using my Best Buy card and earning rewards!
121,5,Great camera on the I phone 8+I am very satisfied with the Iphone.Previously I had a 5s ——no comparison!
122,5,I bought my phone just before my trip to Israel and SO glad I did...the pictures turned out amazing
123,4,Does exactly what is advertised. May be about $100 more what it is sold at
124,5,The eight has a longer battery life and therefore much better
125,5,Awesome like Apple products. Won’t be disappointed!!
126,4,I mean it’s a great phone but I kind of regret not just going for the X getting the 8 Plus was a step backwards
127,5,Upgraded my iPhone 6 to the 8. Was not ready to give up the home button just yet. Just like all apple products easy to use and navigate.
128,4,Quality of camera was not as good as I expected but still a decent phone
129,3,Phone is beautiful and it takes great pictures but I find the phone to freeze a lot and find that my 6s functioned a lot better and a lot faster.
130,5,I have had my iPhone 8 Plus for about a month now and I’m very pleased with it. I went to Best Buy thinking I was going to purchase just the 8 but I’m so glad my significant other talked me into the plus! I really enjoy the upgraded camera and the 256 gigs of storage is outta sight! I went from a 16 gig iPhone 6 to this so I am beyond thrilled with this phone! The customer service was also STELLAR!
131,5,good size - not too big not too small - better camera
132,4,So far I love my i8 phone. Maybe it could be a 5 star rating but I haven’t had it long enough to use/discover all its features. Especially eager to use the camera in various outdoor settings and places.
133,5,The phone is awesome with big screen and super fast!
134,5,I needed a new cell phone and this was a great choice.
135,5,My iPhone 7 broke and I needed a phone. I graded to 8. So glad I did.
136,5,I upgraded from a IPhone 6S. Larger screen is great. A few more features.
137,5,Purchased this for my husband to replace his galaxy. After a short learning curve he loves it.
138,5,Bought this phone for my sister and it works great as with any apple product. Being a little more tech savvy I prefer the iPhone X.
139,5,I didn't exactly plan on upgrading to the iPhone 8+ but love it. The guys at BB were so fast and efficient. Thanks!
140,5,Big screen easy to see got 256 Greg lots of storage and I need that with 20000 plus photos love my new 8 Plus
141,5,"I upgraded from my 6s plus, due to a cracked screen, and other damage, and I am glad that I did. The phone is a lot faster (also due to upgrade in storage space), the photos are better, and the sound is very good. I would recommend this phone."
142,5,I love my new phone! I upgraded from an iPhone 5s and do not regret it!!
143,5,BY far the best I phone I ever owed. and Excellent service at Best Buy
144,5,Purchase this if you want to avoid the fairly new iPhone X and its possible glitches.
145,4,upgraded my daughter's phone and she loves this!!!
146,5,I upgraded a little early because of some problems with my iPhone 6s Plus and I'm so glad I did! It took a while to get used to the home button (it's a little different with this phone) but otherwise I'm incredibly happy with it. Seems a whole lot faster than the 6s.
147,5,I purchased this iPhone for my 10-year-old daughter and she absolutely loves it!
148,4,"The iPhone 8 is similar to the prior generations, but faster and with a better camera. I looked at getting a iPhone X, but liked that the 8 still had a home button and was a little cheaper."
149,5,I bought this for my daughter for Christmas she was so happy and surprised. We love apple
150,5,IPhone 8+ is amazing! I love my new IPhone. Very pretty and a ton of space for music.
151,5,I bought this phone @ best buy on AT&T next for my 22 year old son. We only had to pay taxes that day then make monthly pmts. He loves it. They bought back in his old iPhone 6 for like $180 which in turn paid for his Apple care.
152,5,My wife gave me her iPhone 6s Plus and got the iPhone 8 plus for herself and she has said several times how happy she is with the 8 absolutely no regrets letting me have her 6!!
153,5,Upgraded from 6s+. Like camera. News updates are automatically available.
154,5,I bought this for my son and he has not looked back. Truly impressed with his phone.
155,5,Had the Iphone X but returned it because I loved the home button and fingerprint security. This phone is the 3rd revision of this design and it's safe to say that all the bugs have been worked out so you have a very polished product. Battery life is perfect and the pictures are amazing. Great overall phone.
156,5,"I have always been an iPhone user, but I really like the new features on this phone."
157,5,"So far, my phone is working great. Hopefully I can keep it for awhile without buying a new one."
158,5,No problem moving my old files to new phone. Love apple products.
159,5,Gave this phone to my teenager for Christmas. He loves it and easy to set up.
160,5,"The iPhone 8 Plus is a much heavier then the iPhone 7 Plus, but it works well."
161,5,"Same as always. If you’re an Apple fan, great device, expensive, but can’t do without."
162,5,Moved up to the plus this time. Awesome phone. Really good iPhone
163,5,I purchased this iPhone 8plus for my daughter who is in college. She is thrilled with it. Loves the bigger size.
164,5,This phone was for my daughter and she loves it!!!
165,5,"I was worried I would not be able to learn all about this phone, but it was very easy."
166,5,The larger screen of the 8 plus is great for my older eyes. I really love just setting the phone on a Qi wireless charger at night -- the wireless charging works great and is so convenient and easy! The speaker is great if you want to play music on the fly. The only thing that took me some time to get used to was the different feel of the home button compared to my old iPhone 6.
167,5,Apple i-phone's are very fun and very simple to navigate through the device.
168,5,The ‘Home’ button is a much different ‘feel senitivity’ than legacy (MODS 6 & 4S which I had had prior). The waterproof feature is huge for me as I’m frequently in the pool or at the beach.
169,5,"Pictures are clear, and easy to use. Glad I made the upgrade from my iPhone 6."
170,4,Child loves the camera and the features which can be used between iphone users.
171,5,I have owned almost all of the iPhones and this is the best I’ve owned to date
172,5,"This iPhone is an upgrade from a 6 plus. Although It has most of the same features, the camera quality is impressive."
173,5,"The camera is good on this phone, and it works okay with the newer update. My kiddo loves it!"
174,5,I enjoy the screen resolution and like the new update! My kiddos also really like theirs tons!
175,4,What else is there to say? It's a usual upgrade that isn't breaking the mold.
176,5,Apple does it again!! Full screen WOW!! Such great selfies...
177,5,Gave out daughter the new 8 plus for Christmas. Needless to say she is thrilled with the new phone.
178,5,The iPhone 8 is super fast and works seamlessly! It’s very thin but is a great size even for small hands.
179,5,"I bought 2 of these for my daughters for Christmas. Got a $300 rebate for the old phones. Great product, Best Buy was good to work with in getting them set up, but Sprint customer service is just flat out terrible. Once my contract is up, I will be switching to another company."
180,5,I picked up new phone at best buy. Got better promotional deal than AT&T was offering.
181,5,It's another great product from Apple. No complaints yet and none expected. Also let me just say the Keith at the Greenwood Indiana store made this purchase an extreme pleasure. I will get my new phones from Best Buy from now on
182,5,Anther in a long line of nice phones from Apple as expected
183,5,It is addicting to use. this might take me months to figure out all the different uses.
184,5,Is not much of an upgrade from the iPhone 6 the only upgrade is the camera
185,4,I do appreciate the upgrades from the IPhone 6. The phone is very quick and responsive. Meets my daily needs easily and sinks well with my watch.
186,5,"I love the rose gold color on the iphone and the pictures it takes is amazing. You can take professional looking pictures with a phone. I upgraded from a 6 to 8plus, big difference, everything is so much better"
187,4,"Shop around for the best deal. Love the iphone and always love the service at Best Buy, but not a good deal this time."
188,5,I went from the 5S to the 8 and I love it! I am still surprised of how clear the calls are and I really love the wireless charging
189,5,I pick this up for my daughter as part of the AT&T buy one get one promotion. The Was perfect as she was due for a new phone
190,5,"Love upgrading at Best Buy, customer service is awesome!!"
191,5,Great iPhone faster and reliable . Battery life excellent
192,5,I love the camera features and the fact that the 7plus is similar I went with the 8plus and I’m glad I did.
193,5,But what do you expect from apple? Very attractive!
194,5,Great customer service when purchasing the phone. The phone is excellent.
195,5,Purchased for girlfriend. A very cool phone. She likes it.
196,4,I bought this for my son and he loves it. I am an Android guy but this is a nice phone.
197,5,I like the phone but it’s to expensive to buy for a teenager let them take the used and we upgrade as adults!
198,5,This is basically the same phone as IPhone 7 Plus. A little faster processor and a little better camera but that’s it.
199,5,Went from a 6 plus to a 8 plus! Love the pictures!! Happy with my decision
200,4,My daughter was so excited to get this phone. She says the camera takes great pictures.
201,5,This new 8 plus iphone is awesome. I love the big screen and the updated camera
202,5,I have only had my iphone 8 plus for a few weeks but I am in love with the large screen and awesome camera. I have no complaints.
203,5,It’s an iPhone. Display is exceptional especially on the plus. New camera and lighting are worth the upgrade
204,5,Love the huge screen and amazing cameras. Touch screen is awesomely responsive
205,5,the right size and dose all that I want it to. It takes great photos/
206,5,"The iPhone 8 Plus is a great phone, fast, water resistant, and easy to use. I recommend it highly."
207,5,I almost went with the 7 but I'm glad I decided on the 8. This iphone doesn't disappoint.
208,5,"Great I phone, takes great pictures. Daughter loves it and is glad she went back to I phone."
209,5,Got it for my oldest kid as a gift it went over well
210,4,I upgraded to the new iPhone 8 and love it so far.
211,5,IPhone 8 has fast processor and fun to have. I think this is a better deal than the X. If you don’t need the features in X. It’s $300 less than the X with enough features that you may not need in X. It’s not much of an upgrade from iPhone 7. But huge jump if you have iPhone 5
212,5,The I phone 8 is a pleasure to use. The camera takes beautiful pictures.
213,5,"Phone is excellent, camera is first rate. Easy to use and a good size."
214,5,"Since Apple decided to bypass the regular ""s"" models of their phones in favor of a new number, the iPhone 8 is basically what the iPhone 7s would have been. An upgrade to the hardware, but the same external size and components. Either way, the iPhone 8 is a great phone and is faster than the 7 and boasts a better battery life than its predecessor as well."
215,5,This phone is awesome the screen size is perfect battery life seems good
216,4,I can’t say I’m impressed by this. People rave about the camera but I feel like my iPhone 6 did a better job
217,5,My whole family has only used iPhones since they started coming out. Wouldn’t use anything else
218,5,"Since Apple decided to bypass the regular ""s"" models of their phones in favor of a new number, the iPhone 8 Plus is basically what the iPhone 7s Plus would have been. An upgrade to the hardware, but the same external size and components. Either way, the iPhone 8 Plus is a great phone and is faster than the 7 Plus and boasts the best battery of the iPhone lineup!"
219,4,If you really can’t get past the X not having a home button the 8 builds on the current design of the iPhone that has been around since the 6 was released. Wireless charging is finally here for the iPhone.
220,5,"Phone battery life is amazing, last two plus days and is good for how much I use my phone. Good phone for the price."
221,5,I had a lot of problems and this was a God send and all my problems were solved.
222,5,"So far, I love the new iPhone. It's faster, has a better camera and is still as easy to use as past models."
223,5,Big upgrade from my iPhone 6. The added memory helps on downloaded mudic
224,5,Went with the I Phone 8 instead of the 10 because that's what my daughter wanted. She loves it!
225,5,"I replaced my iPhone 6s Plus with an iPhone 8 Plus. The battery in my 6s Plus was deteriorating & rather than replace the battery I decided to upgrade to an 8 Plus. The battery lasts much longer & I really like the processor speed & the wireless charger capability. Also, I was able to get a pretty decent trade-in value for my 6s Plus."
226,5,Great phone. Perfect size for what I need to do and is great for movies. Camera is amazing
227,5,Bought the 8 Plus for my teenage son. He loves the larger screen size since he watches some YOU TUBE videos. Highly recommend 8 PLUS
228,5,"Upgraded from iPhone 6. I love the bigger size, better camera and more storage!"
229,5,"I bought this for my daughter for Christmas, she has not put it down since."
230,5,Upgraded from iPhone 6. Wasn’t sure I was going to like the bigger size but now I don’t think I can go back!
231,5,I absolutely love my new 8 Plus. I had a 6 Plus and the camera quit working and decreased speaking quality. iPhone is the Best
232,5,"Staff was very helpful, knowledgeable and made time for me."
233,5,I’ve always had the smaller iPhones but i went with the plus and the Big screen is wonderful and great camera!
234,5,I get this phone for my daughter for Xmas and she’ll loved it. It’s really nice features and she’s really happy.
235,5,Upgrade phone works great for now. Best Buy set up phone with cell carrier .
236,5,The phone has worked great so far. Does everything I need. I use it for work as well. Nice screen size and takes wonderful pictures
237,5,I’ve been wanting to get it but I’m just hesitant to get coz it’s a new model of iPhone. I’m happy with it.
238,3,Had to purchase a new phone after the battery of the 6 stopped holding the charge
239,5,This phone is same as iPhone 6 and 7. Can’t tell the difference unless your really into spec from details.
240,5,"Great phone for me , not as fancy as the 10 but great for my use"
241,4,Same as above. Best Buy employee was extremely helpful and knowledgeable
242,3,"Fast and very durable but 8 iPhone does not have portrait mode, something to think about"
243,3,Pretty much the same thing apple’s had for years. Nothing new or that great.
244,5,Like the new 8. Kinda the same as my 7 but works better.
245,4,"I almost love this phone. It's is extremely responsive, and much faster than the 6s I had. The battery life for me (not a heavy user), is quite nice, lasting at least 36 hours before recharging. My only complaint is that it is wider than I expected, and I can no longer text with one hand, even with the split keyboard."
246,5,"Decided not to wait for battery replacement on my iPhone 6 and just upgrade to the 8. It's basically the same phone with a better camera and force touch, plus all the other new bells and whistles. I debated on getting the X but wasn't that impressed with face id and I'd have missed the home button too much. My first iPhone was the 4 and lasted me until the 6 came out and now I got the 8, which is better longevity than any of the android phones we've had. Battery lasts super long now which is great, camera is nice, the gold is pretty. New (to me) home button takes some getting used to, specifically that touch id so so super fast now that it takes me to my home screen when I really just wanted to quick check my notifications on my lock screen or swipe to take a photo. I need to get used to just picking it up and tilting it instead."
247,5,"this is my first foray into the PLUS size iPhone. at first I thought it would be bulky. but no, it fits well in my pockets and the screen is awesome!!!!"
248,5,"love the new iphone, great phone, awesome camera. Love it"
249,5,"I love my I-phone 8 plus. It is big enough to see, but not too big to hols. Pictures are great. It was not a hard adjustment from my 6. It did take a second to get use to the button pressure. I also added an app that tkes me to the home page."
250,5,"I bought this phone last week, it’s a very good phone, fast, more features than my previous phone, I recommend this Phone"
251,5,Always happy with Apple phones. My only suggestion would be for the salesperson to share a brief summary/highlights of what the new phone version brings.
252,5,Phone is great but it sucks Apple makes you buy a new phone every 2 years
253,5,My wife loves this phone but we are disappointed with Apple making u buy a phone every 2 years
254,4,"Phone has everything I need, making the X an unnecessary waste of extra money. Get the 8 plus"
255,4,"Phone purchase suggested by our son, who has used iPhones for years. Learning transition from years of android use. Not finding degree symbol on keypad."
256,5,I love my new phone. The sales associate was helpful in familiarizing me with it. It's much faster and easier to use than my old phone.
257,5,Great phone really recommend this phone to everybody!!!!
258,5,We've always had Android phones but the kids wanted Apple phones because they use Aplle computers in school. We'll see if the phones bring the grades up
259,5,Great camera and the bigger size works well for me!
260,5,"I was OK with the price, but I love the phone. They did not have a big selection of colors but I was OK with that."
261,5,I'm glad I went with the 8 plus instead of the X. My cousin did research and the 8 plus is much better than the X and less frustrating.
262,5,Great phone for price. Nice large display! My girls love it!
263,5,"We love our IPhone 8+. Great sound for movie, video watching, love the new camera"
264,5,Bought the phone for my Child. Love all of the great Parental controls.
265,5,I love the new camera. Apple makes the best phones with best service.
266,5,Love the IPhone 8 Plus. I have always owned Apple products. Love the quality and ease of use.
267,5,"I came from a 5 so it’s a big step up a lot faster and more features. I don’t think the reception is any better for calls. I set it up with iCloud and was easy. If you have Apple Music make sure you have playlists turned on in the library home screen. That setting didn’t seem to transfer from backup. Verizon was a pain, I had to call 800 automated line to activate. The information was right online but just would not take."
268,5,"My daughter's iPhone 5S began having numerous problems, therefore, I had to upgrade. Best Buy had a better deal on the iPhone 8 which overall will save me money. I had planned to get her the iPhone 7 but for a few dollars more we were able to get 256GB which is best for my daughter! Audrey and Karl were AWESOME knowing I had limited time, they worked as a team and had me in and out with time to spare! Great service and wonderful to see how professional they were working together!"
269,5,"The iPhone 8 is awesome. It is fast, responsive, and easy to both set up and use. I upgraded from an iPhone 6, and the differences are monumental."
270,5,Love my new phone! Takes great pictures and video!
271,4,She loves the phone and the ease of use between all her apple products. She can text like lightening!
272,4,"I bought this phone to replace my mom's old laggy iPhone 6+. She likes it and she easily learned all the new features quickly. Thank you Best Buy for setting up her new phone for her before she left the store. My mom is having a minor issue with her new phone. When she is in a low signal area or overly congested area, call quality sounds terrible on the person she called side.The call comes in clear on her end, but on the other end the call quality is very muffled, staticky, and has an echoing effect. I don't know if this a Apple issue or Verizon issue. According to her, Its only happened a few times over a course of a month. Besides that issue, she likes the phone a lot over her old iPhone."
273,5,"The iPhone X gets all the love (justifiably so) but this is is a great upgrade from previous models Fast great screen and camera, great speakers and battery life. Powerhouse"
274,5,"It was a gift for my daughter, and she loved it. She said it was so easy to use it!!"
275,4,"I upgraded from the iPhone 6s and there really isn’t much new to this one. It has the wireless charging capability, which is cool, but everything else is essentially the same. That’s not a bad thing since the 6s was very good but there aren’t really enough improvements to make it worth the upgrade u less you are having issues with your current phone and need something new. It’s a great phone though."
276,5,"Overall the phone is great, faster than my last IPhone, better screen, better pictures."
277,5,Phone fits perfect. Screens seemlesly transition. The pictures are perfect.
278,5,"Loving my new iPhone 8! I’m way more careful with this one since it has a glass back, however, the color is pretty and looks good with the case I bought!"
279,5,"The iPhone 8Plus is a major upgrade from my old 6 Plus. Extremely fast and the quality of the picture is great. Miss the headphone jack when bluetooth headphones are charging. Great battery life. I get a full day with heavy use (email, gaming, internet searches). The best battery life of any iPhone I ever had (since first iteration)."
280,5,Upgraded from iPhone 7 Plus to iPhone 8 Plus. Very similar to iPhone 7 Plus. Do like the wireless charging capability.
281,4,He had a android before. He likes this better easier to operate
282,5,"My 4th iPhone and this one is wonderful. I like the larger screen for easier reading, and the larger keypad for easier texting. I highly recommend the iPhone 8+"
283,5,My grandson picked out this phone and he loves it! Very cool!
284,5,I kept running out of space for pictures and mi games
285,5,Bought this on the 24 month plan. Was a better deal than the 7. As of now seemed like a smart purchase.
286,5,The iPhones just keep getting better and better! I love the camera on this one.
287,5,Pretty consistent upgrade from the 6 to the 8... Works as advertised
288,5,"I thought it’d be too big, but I got used to the size quickly and have no intention of going back to buying smaller phones. The camera is amazing, the sound is surprisingly good and the screen is very nice too."
289,5,A good phone for your everyday needs and more! Great quality and wonderful service.
290,5,Great phone with all the features you want to have
291,5,Great phone with all the features you would want to have
292,5,I will never have an android phone for the rest of my life. JJG
293,5,"I love my new phone, especially the battery, it holds up very well."
294,3,The iPhone-8 is an average phone (for now). I hope the IOS and battery will last a bit longer (this time).
295,5,Replaced my 6S with this phone. Great apple product that I am used to.
296,5,Love the way I can go from one thing to another much faster than before!!
297,5,Unfortunately I was forced to buy a new iPhone because my IPhone 5 would no longer hold a charge
298,2,"The first phone they gave me in the store completely malfunctioned before I left. Had to get me another. My old IPhone died before it was even paid off. They couldn't help me retrieve my info. Longtime Apple user, thinking of switching to another kind of phone."
299,5,Upgraded my daughter's aging iPhone 6 and she loves it. It's much faster and she is learning to use the new features of the phone. Lot of accessories for the phone as well.
300,5,Got this phone for my boyfriend's mom as her first cell phone and its amazing. Definately user friendly we both have Samsung's and i am still able to help her set it up.
