,stars,comments
118,4," Téléphone « classique » d’Apple. J’avais un 6s et je me sentais à l’étroit surtout pour lire en mode portrait et pour jouer. J’ai hésité avec le X, mais outre son prix prohibitif, il ne répondait pas à mes besoins à savoir, un écran plus large. Le X à beau avoir une diagonale plus importante il n’est pas aussi large que ce 8 Plus. De plus le ratio de ce 8 Plus est pour moi tout simplement idéal (16/9). En plus je n’aimaisnpas Du tout cette encoche en haut de l’ecran du X qui gêne en lecture vidéo et en jeux. Ceci étant dit voici pour moi les points forts et faibles de ce téléphone. Points forts : + La taille et le format de l’écran idéal pour lire en mode portrait et jouer. Autre bénéfice le clavier virtuelle est bien plus confortable à l’usage que sur un 6s ou les rouches sont plus petites. Du coup presque plus de faite de frappe! On tape beaucoup plus vite. + La puissance du processeur A11 Bionic absolument incroyable. Aucun ralentissement. Tout se fait très vite, même avec les apps les plus gourmandes en ressources. + la qualité des photos et le mode portrait qui fait de superbes clichés. + La qualité de la dalle LCD. Un vrai plaisir de regarder son écran. Les vidéos sont vraiment ultra plaisantes à visionner. + Bouton home haptique, super rapide et plus confortable à l’usage que l’ancien. Un vrai confort à l’usage. + la réalité augmentée. + la recharge sans fil (pas encore utilisée) + le dos en verre est magnifique (dommage on doit le cacher par un étui) Points faibles : - L’encombrement du téléphone en rapport à la taille de l’écran. C’est LE gros point faible qui avec le poid font perdre une étoile à mon évaluation. On atteint les limites du confort. Les bordures sont importantes pour un téléphone haut de gamme vendu à ce prix. Apple exagère vraiment sur ce point. Mais quand on est fan d’IOS (j’ai testé Android et je n’aime pas du tout), on a pas le choix faut faire avec ce que propose Apple. - Le poid, plus de 200gr, une fois qu’on rajoute un étui ça commence à peser. J’avoue que je me sers plus de mes écouteurs Bluetooth. C’est un poid faible que je relativise beaucoup car je passe peu d’appel. Et pour jouer ou utiliser les apps ce points n’est pas gênant du tout. Si c’est 2 points faibles sont acceptables pour vous, foncez !  Avis complet  "
119,5, Je l’ai acheté pour la black fridah et jusqu’ici j’en suis satisfaite.  Avis complet  
120,5, J’ai acheté mon iphone 8+ il y a 10 jours et je suis ravie .. qualité photo impressionnante.. on se fait très vite à la taille du + qui très agréable !  Avis complet  
121,5, J’ai acheter ce téléphone et je l’adore  Avis complet  
122,5," Qualité d’image incroyable, fluidité esthétique et facile d’utili Il a tout pour plaire.  Avis complet  "
123,5, J'ai acheté l'IPhone 8 + la semaine dernière et je suis satisfaite car il répond au produit que j'espérai !  Avis complet  
124,5," Au top rien a dire, satisfait de mon achat  Avis complet  "
125,5, Très bon téléphone rapide et efficace on reste dans l univers Apple avec bcp plus de rapidité et de réactivité et de stockage  Avis complet  
126,5, super contant et super lot nitendo très bien pour jouer  Avis complet  
127,5," Rien à dire sur le téléphone, dernière technologie, très performant, qualité photo incroyable. Je vous le recommande  Avis complet  "
128,5, Je suis très satisfait et très content de mon achat  Avis complet  
129,3," Par contre il n’a rien de plus que l’iphone 6+, au contraire il a moins, il n’y a plus la sortie pour écouteurs et quand on est entrain de le charger on se trouve comme un abruti on ne peut pas utiliser les écouteurs. Je trouve que c’est une décadence de la part d’Apple. Aussi le poids est un inconvénient il est plus lourd que le 6+ pour moins d’utilités.  Avis complet  "
130,5," Reçu en temps et en heure, Neuf, aucun souci.  Avis complet  "
131,4, Livraison un peu longue sinon produit conforme a la description  Avis complet  
132,5, Mais c’est dur de passer à l iPhone 10 ans après sa sortie. ?  Avis complet  
133,5, Le meilleur prix qu'on puisse trouvé en plus avec le paiement en 3 fois c'est juste parfait!  Avis complet  
134,5," Produit sous blister neuf, satisfaite  Avis complet  "
135,5," Livraison très rapide et téléphone en lui même très performant, pour les photos visées Samsung largement meilleur de ce côté là  Avis complet  "
136,5, Livraison dans les temps pour un prix fou ! Merci Cdiscount ! Je recommande  Avis complet  
137,5, Ravie de mon achat.livraison rapide  Avis complet  
138,4," Arrivé rapidement, vraiment top surtout pour les photos. Il est rapide et efficace par contre la couleur argent fait plutôt blanc qu’argent et n’aillant qu’une seule entrée de branchement, on ne peut pas utiliser les ecouteurs en même temps qu’il charge.  Avis complet  "
139,4, J’ai acheté cet article et pour le moment je n’ai rien à signaler  Avis complet  
140,5," En remplacement d’un précédent iPhone. J’hesitais entre le X et celui mais faute de stock je me suis rabattu sur celui ci. J’avais peur de la taille écran mais c’est très pratique. Même si certains trouve ce téléphone cher, je trouve le rapport qualité/prix plus qu’excellent, surtout au niveau des finitions. A recommander !  Avis complet  "
141,5, Achèté semaine dernière il est pratique simple  Avis complet  
142,5, Je conseille vivement. Produit neuf  Avis complet  
143,5, J’ai reçu mon iPhone Trooooo contante de mon achat je le recommande  Avis complet  
144,5," J’ai remplacé mon honor 5c par cet iphone 8 et je suis très satisfait l’iphone est vraiment très réactif 0 bugs dans les applications, bref tout ce que j’attends d’un smartphone en 2017. Si vous avez les moyens foncez vous ne serez pas déçu !  Avis complet  "
145,5, Très bon état dans l’ensemble  Avis complet  
146,5," C’est un Apple, c’est un iPhone dernier cri. Tout est dit. Fluidité, rapidité,  Avis complet  "
147,5," Appareil neuf dans son emballage,délai de livraison plus court que prévu  Avis complet  "
148,4, Satisfaite fonctionne parfaitement fait des belles photos  Avis complet  
149,5, Livraison très rapide. iPhone est très très bien  Avis complet  
150,5," Le téléphone en verre tiens à merveille dans mes mains , surtout qu’avec le nouveaux processeur la consommation de batterie est beaucoup moindre Enfin super je conseil  Avis complet  "
151,5, Très satisfaite de mon achat je ne regrette pas dit tout pour l’instant !!  Avis complet  
152,5, Je l’ai reçu rapidement rien à dire  Avis complet  
153,5, Suite à l'achat Vendu et Expédié par Cdiscount de cet iPhone je l'ai reçu en avance et ait été très satisfaite du produit. Il fonctionne très bien.  Avis complet  
154,5," Rien à redire , je l’adore . Il est superbe et la couleur très douce .  Avis complet  "
155,3, Tout est dans le titre! Fonctionnelle rapide et pratique dans le temps par rapport à androïde. Mais beaucoup trop chère!  Avis complet  
156,5," Produit reçu en avance, marche trés bien, le top  Avis complet  "
157,4, Il est plus facile à utiliser. Il est assez grand pour voir le message. Très efficace.  Avis complet  
158,5," Il est très bien, très contente, performant, ras  Avis complet  "
159,4, J’ai acheté ce produit la semaine dernière. Très bon appareil. La batterie pourrait néanmoins être plus efficace.  Avis complet  
160,5, Ras il dechire au top tres content du produit  Avis complet  
161,5, Comme d’habitude Apple est géant  Avis complet  
162,5," Il n’a vraiment rien à envier à l’iPhone X tellement il est rapide et sans bug, très bon appareil photo et excellente autonomie.  Avis complet  "
163,4, Super téléphone très facile d’utilisation  Avis complet  
164,5, J'ai très content de ma commande et je suis très ravie de cette livraison  Avis complet  
165,4, J’avais le iphone 6 juste avant et je ne vois pas de différence si ce n’est la beauté du téléphone. Donc tres bon portable mais pr le prix autant prendre un 6 ou 6s  Avis complet  
166,5, Livraison rapide délais respectés comme sur la description  Avis complet  
167,5," Bon produit, fidel à la marque envoie rapide, et coli bien protege  Avis complet  "
168,4," Article me convient, il a répondu à mes attentes c  Avis complet  "
169,5," Acheter il y’a 2 semaine et j’en suis très content, marche super bien, en plus de sa garantie chez Apple fournie, reçu en colis super bien protéger a l’intérieur et reçu en 3 jours  Avis complet  "
170,4," Très fluide et c'est mon premier iPhone d'habitude je suis Samsung Galaxy Note et je suis satisfait de l'iPhone 8 plus,je conseil se produit.  Avis complet  "
171,5, Très bon téléphone j’adore je vous le conseille Le financement que boulanger est interessent  Avis complet  
172,5," J’ai toujours été chez Apple , l’iPhone 8 plus est génial avec son processeur A11 Bionic c’est le top :)  Avis complet  "
173,4, Bonjour ayyant eu un iphone 6 plus je suis habituee j’apprecie les 64ga  Avis complet  
174,4, J’ai acheté l’article il y a 2 semaines et j’en suis très satisfaite  Avis complet  
175,5, Appareil ayant une très bonne ergonomie et un design épuré. Toujours le même plaisir pour la navigation entre autre  Avis complet  
176,5," j'ai mon iPhone 8 plus 64 Go 5.5' couleur OR, depuis le mois d'octobre, j'en suis vraiment satisfait. Je l'ai bien en main, son poids satisfaisant, l'ecran plus grand que les premiers iPhone est agréable à la lecture pour un grand utilisateur. La couleur class !!!  Avis complet  "
177,5," j'ai offert ce téléphone à ma petite fille qui est entièrement satisfaite, il répond à ses attentes.  Avis complet  "
178,5," Je suis très satisfait , il répond totalement à mes attentes  Avis complet  "
179,4, Habitué des produits Apple et très satisfaites de celui-ci  Avis complet  
180,5," Je souhaitais commander l'Iphone X, mais dois bien avouer qu'après l'avoir eu en main, et comparé avec le 8 Plus, j'ai préféré cette seconde option. Le ratio d'écran est meilleur et le bouton Home avec Touch ID est à mon sens bien plus ergonomique que Face ID. Et puis le côté ""massif"" de ce téléphone me plait. Les performances sont bluffantes, c'est un monstre et je n'ai constaté aucun ralentissement même en utilisation intensive. L'écran avec True Tone est tout simplement magnifique et reposant. L'appareil photo est d'excellente facture et donne des clichés superbes en toutes circonstances..... bref je ne suis absolument pas déçu de mon choix, même si comme toujours apple fait payer cher ses iphone....  Avis complet  "
181,2, Aucune différence majeur par rapport à l’iPhone 7+  Avis complet  
182,5, Très content de cet achat. Beau téléphone très fiable  Avis complet  
183,5," Très bon produit de chez Apple très content et satisfait de mon achat, une bonne tenue en main, il est plus fin que mon ancien iphone 5s. Très déçu qu le prix d'achat baisse de 100€ des le lendemain de mon achat sur Cdiscount !  Avis complet  "
184,5," content ,je recommande vivement,aucun soucis particulier ,  Avis complet  "
185,5, Très content du produit mais devais être livré le lendemain en payant !!! Mais livré 3jours après  Avis complet  
186,4," Je viens de recevoir mon iPhone 8 + or 64go il est juste magnifique , emballage correct Je suis contente de mon achat.  Avis complet  "
187,5," Une batterie un peu plus autonome, une qualité photo impressionnante et une sensibilité  Avis complet  "
188,5, Une merveille de technologie . Livraison rapide  Avis complet  
189,5, Très bien bon service très bon accueil super pratique très complet !.  Avis complet  
190,3, J'ai acheté cet article il y a quelques jours et je suis satisfaite  Avis complet  
191,5, Très bon produit livraison rapide et le meilleur prix  Avis complet  
192,4, Super rien à dire ! Véritable gadget.  Avis complet  
193,5," j’ai acheter pour mon mari, il a adorer. de plus le payement on 4fois sans frais, tres contente de cet affaire.  Avis complet  "
194,5," Pour le moment, après très peu de temps d'utilisation, tout se passe bien et je suis satisfaite de mon acquisition.  Avis complet  "
195,5," j'ai acheté ce produit il y a deux semaines. Il est pratique, performant et efficace.  Avis complet  "
196,5, superdre matériel merci fonctionne très bien à recommander  Avis complet  
197,5, Habitué à Samsung j ai décidé de changer mon Samsung s7 par un iPhone 8 plus 256 GO malgré le prix mais je ne regrette pas la qualité est là c est Apple je vois la différence  Avis complet  
198,5, Je le possède depuis la semaine dernière et coup de chance c'était le seul dispo. Il me convient bien  Avis complet  
199,5," Produit neuf et excellent, merci Cdiscount.  Avis complet  "
200,5," L’iPhone 8 Plus représente l’aboutissement d’un produit sorti maintenant en 2014, design maîtrisé et sans défaut, processeur de l’iPhone X, un double APN qui donne de très bons résultats (voir les tests sur dXO), recharge sans fil, écran LCD avec technologie True tone, bref c’est un très bon choix en 2017  Avis complet  "
201,5, nikel je ment ser tout les jours impecable  Avis complet  
202,5, J’ai suis très satisfait du mon achat  Avis complet  
203,4, conforme a la demande délai respecté après 3 ans et plusieurs commande jamais déçu  Avis complet  
204,5," Apple toujours numéro 1 pour moi très bon design, meilleur fluidité des smarphone rencontré des a présent, bonne performance, bonne qualité photo avec pas mal de choix, bonne taille d’écran, rien à redire, il faut aimer apple perso je ne m’en lasse pas :)  Avis complet  "
205,5," plus rapide que le 7 ; jolie, du apple j adore , a protéger par contre  Avis complet  "
206,5," Livrer en 24h comme il faut , fonctionne nikel super produit je recommande  Avis complet  "
207,5, Très contente de l’achat de mon iPhone 8 Après avoir été très bien conseillé par un des vendeurs Julien je suis ravie  Avis complet  
208,5," toujours aussi content d'apple, rien à redire. Je recommande vivement  Avis complet  "
209,5, Colis reçu rapidement et bien emballé  Avis complet  
210,5, Iphone 8 très jolie superbe ligne et très rapide??????????????????  Avis complet  
211,5, Je voulais un iPhone plus depuis longtemps . L écran est fantastique :-) avec mon abonnement Netflix je peux regarder des films et séries ! Les photos sont à couper le souffle . Les portrait magnifique . Je trouve que la batterie est largement meilleur que l iPhone 7  Avis complet  
212,5," J’avais quitté Apple pour Android et je regrette vraiment pas d’etre Revenu chez eux, interface super qui tourne très bien et un super app. Photo  Avis complet  "
213,5," J'ai acheté cet iPhone il y a maintenant presque 2 semaines & j'en suis ravie !!! Trés beau design, finition ..  Avis complet  "
214,5, Livraison rapide. Iphone 8 neuf  Avis complet  
215,5, Le problème rien de spécial par rapport à un iPhone 7  Avis complet  
216,5, J’en suis contente très bonne article merci bcp j’en profite  Avis complet  
217,4, L’écran de l'IPhone 8 plus est très pratique sur pour travailler et pour lire des articles de presses.  Avis complet  
218,5, Livraison rapide iPhone intacte  Avis complet  
219,5, Apple frappe une fois de plus très fort avec ce nouveau téléphone hyper réactif ! L'investissement vaut le prix !  Avis complet  
220,5," Téléphone hyper pratique, une excellente qualité vidéo et photo! Grande capacité de stockage  Avis complet  "
221,5," Rien a dire il est top, super fonctionnalités.  Avis complet  "
222,3, Aucune différence avec l’iphone 7  Avis complet  
223,4," La prise en main se vite, bonne ergonomie, graphisme et qualité optique au top, un peu plus lourd vu sa taille agrandie. Il reste classe, j'en suis content  Avis complet  "
224,5, IPHONE à la hauteur des promesses. Très bonne qualité  Avis complet  
225,4," J’ai acheté l’iohone 8+ il est très intuitif et agréable à manier , le point négatif est son poid car il pèse très lourd et glisse facilement des mains compte tenu du fait qu’il soit tout entièrement en verre...  Avis complet  "
226,5," très satisfait de mon achat, outil parfait aussi bien pour la photo que pour les communications  Avis complet  "
227,5," Très bonne tenue en mains, écran très confortable. Un bel objet  Avis complet  "
228,5," Parfait, comme d’habitude pour un produit Apple. La charge sans fil fonctionne sur beaucoup de chargeurs à induction, dont les Samsung. Rapidité incroyable, autonomie très correcte (2 a 3 jours en usage normal), super appareil photo.  Avis complet  "
