,source,product,comments,stars
15,Amazon,Samsung S8,Works well with armor case.  I applied with case on to get an exact fit.  Bubbles disappeared within 2 days to leave a completely transparent voating..  So far protector has stayed on without issue for nine days.  I like the texture and touch sensitivity is gone.,5.0
16,Amazon,Samsung S8,"Really bad service from Samsung. The phone came with a defect in the front camera. I called them and they told me it will be fixed when the phone updates to the new version. I was back and forward with Samsung since I notice the issue. I noted first when I made my first skype meeting call. Then when my colleges told me about the issue, I started taking selfies, I notice that all the selfies have the same black spot in the same place. Unfortunately, I figured out the issue 36 days after I bout this phone from Amazon. So, I  could not return the phone due to the 30 days return policy.I contacted Samsung, they asked me to update and reset the phone and so a bunch of staff to the camera app. After the 2nd call, They sent me to a Repair Center close to my home. The repair center wanted to charge me $109 dollars. I called Samsung again. This time Samsung told me that because I was under warranty they can fix it for me. They cannot replace phones but just fix them. Samsung told me that they will take 11 days to fix it. I expressed my concern that I bought an expensive phone because the service as my work and my business depend on a reliable phone. I told them that I cannot afford 11 days without communication. So, they told me ""Well you won't be without communication you can buy a ship phone and exchange the sim card until your phone cames back"".So, does not Samsung understand that an unlock cheap phone cost at minimum 120 and it won't be able to multitask as fast I need to do my job and maintain my business?I do not recommend to buy this phone or any Samsung phone if service and reliability is the most important subject for your purchase.",1.0
17,Amazon,Samsung S8,"Got a new SIM card from my carrier and was instantly up and running. Very happy with the phone, face recognition is better than I expected.  Phone is very fast.  Battery life has been awesome.",5.0
18,Amazon,Samsung S8,Love this phone. I was a little unsure about the curved screen at first but it I actually love the look and feel of it now. Upgraded from an s5 and the difference is amazing.,5.0
19,Amazon,Samsung S8,"To be honest, I purchased this phone June 5th and have had nothing but problems with it since I bought it. The biggest problem, the battery and charging problems. Every time I let the phone get to 40% or less battery life, and plug it in, it automatically just shuts down completely. Not sleep, not screen off, SHUT DOWN. It has been crazy annoying but i dealt with it since it is the ""best phone out there"".Next, the always on screen. Sometimes it is literally ALWAYS ON. screen is on, at the main home screen, not the lock screen. Anyone can get into the phone, browse away and make calls if I a not watching. Also, in this state, if it isn't charging and I put it in my pocket, it actually heats my leg uncomfortably. The only solution is to hit the power button to put it to the lock screen. Very frustrating but I dealt with it because it is ""the best phone out there"".Now this morning i awoke to find the phone powered off. I assume the battery had dies so I plugged it in. Normally, as soon as it is plugged in you would see a circle with a lightning bolt inside that appears, letting you know it is at zero percent but it is charging. The LED light would also blink at the top....nothing. No LED light, no circle with lightning bolt, nothing. I then proceeded to spend 3 hours looking on the internet, calling Samsung, everything to try and rectify the issue. It just will not turn on.So now I get on the phone with Samsung and they have me go through 20 minutes of attempts to resolve the issue, the same things I just spent 3 hours trying. Still nothing. I also read in their warranty for cell phones (see attached screenshot) that ""During the applicable warranty period, provided the Product is returned in accordance with the terms of this Standard Limited Warranty, Samsung will repair or replace the Product, at Samsung’s sole option, without charge."" So i figured they would just ask the woman to overnight a replacement of this 5 month old phone and I would ship this broken one back, done....nope. The woman on the phone refused to even acknowledge replacing was an option even though I read her word for word what the warranty stated. The only option was to send it to them, wait for them to fix it, and then send it back. All of which will take 2 weeks! I replacement can be shipped in 2 days!. I asked her nicely again to replace it as I cannot be without a phone for 2 weeks, no; she wouldn't even consider it since she didn't believe it was in the warranty in the first place. After a 3rd try to get her to understand she simply got quiet as she refused to even discuss it with me any longer. Very disrespectful and lack of understanding of my situation or their warranty apparently  but also very disrespectful to a customer who has spent a fortune on Samsung products.So now I am sending the phone back to Samsung to let them spend 2 weeks to repair and send it back. In the interim I plan to buy another phone THAT WILL NOT BE SAMSUNG. I have been a Samsung fan for 4 years now and have spent close to $20,000 on phones, TVs, all new kitchen appliances. To be so mistreated after all of this loyalty is unbelievable. After tolerating all of nuisances with this phone and then to be told they cannot replace it but it must be sent in for repair for 2 weeks is just unacceptable. This is the reason why Samsung has peaked for me and will now be going downhill. As far I am concerned there will never be another Samsung product in my home and I will actively tell whoever will listen to stay away from this company who does not respect their customers loyalty.Unless this company makes this right I will get the phone back ,sell it and never even consider another Samsung product, period. The aggravation alone is worth 10 of these phones that cost Samsung less than 300 dollars to manufacturer. Losing a 20k customer is going to hurt. Further I plan to post this review anywhere I can so that as many people considering Samsung products understand the company and lack of customer focus.",1.0
20,Amazon,Samsung S8,"KNOWN ISSUES WITH TEXTING - read the Samsung forums before buying this phone. I sent my 2 month old phone in for repair when it stopped sending texts after a security update, and it was supposedly repaired but is still not working! Tech support and Sales pointed fingers at one another and have given me the runaround and refused a refund. Hard to believe Samsung hasn't improved their customer support after the S7 debacle. So far I've wasted hundreds of dollars on a paperweight and hours of my time on the phone with Samsung. Buy a reliable but inexpensive Moto G5 plus instead if you require texting capabilities on your phone!",1.0
21,Amazon,Samsung S8,"The features are alright, but nothing amazing. The Bixby button is just in the way and almost wholly useless. No screen protectors will stay on the damn thing and my screen was broken within 3 weeks because my kid leaned on the sofa and it slid onto my floor. My carpeted floor. This was a phone in an Otterbox case with a screen protector on (I believe it was the 3rd I'd purchased in just as many weeks since they don't stay on.). I took it in since I paid for insurance and they wanted to charge me my firstborn to give me a refurb phone. I decided to call around and it's about $500 for a replacement screen.I'm not particularly hard on phones and always keep them in a case and with a protector because I don't like having to replace overpriced gadgets. The only time I've had a cracked screen in all my years of phone ownership was when the entire strap broke on my bag and my Note 4 wound up with a cracked corner from like 3 tons of books falling on it on a subway platform. If I had any idea that the entire screen would be spider veined from sliding off the front of my sofa onto carpet, there's NO way I'd have bought this. I'm not a fan of the curved edges at all and wish they had a flat version because I really do like Samsung products for the most part. This one, however, is just a dud. It's way too fragile (and repairs WAY too expensive) to be useful to everyday folks. I've gone back to my old phone for now because I can't afford to pay to have it fixed in a repair shop and even the $200 deductible on the insurance policy just isn't worth it for a device that will likely break again if falling 2 ft onto carpet is enough to send it to the ER.",1.0
22,Amazon,Samsung S8,Does a perfect cell phone even exist?  This phone has some little annoying things about it.  Nothing too major I can think of right now.  One is the ugly emojis.  I liked the ones on my old Droid way better.,4.0
23,Amazon,Samsung S8,our Verizon store had no problems with this at all. They had it up and running in no time,5.0
24,Amazon,Samsung S8,"Awesome phone!!!Pros:Amazing (super amazing) displayawesome aesthetics (the phone is very sleek)lightweightCons:Awkward position for a fingerprint sensor.I heard screen breaks pretty easily (I ordered screen protector and a case for this phone, although my earlier phones didn't require one)",5.0
25,Amazon,Samsung S8,good product samsung supplies as the other products.,5.0
26,Amazon,Samsung S8,Samsung master race. built quality is amazing,5.0
27,Amazon,Samsung S8,excellent product and great services,5.0
28,Amazon,Samsung S8,Love it.  Received in new condition.,5.0
29,Amazon,Samsung S8,I am glad I got the phone from this seller. As expected.,5.0
30,Amazon,Samsung S8,"This was Christmas present for my son, that absolutely loves his new phone thank you.",5.0
31,Amazon,Samsung S8,"It’s great, I like it!!",5.0
32,Amazon,Samsung S8,i am having a hard time settin this up. The volume adjustment on incoming calls  is a problem.,3.0
33,Amazon,Samsung S8,Excellent,5.0
34,Amazon,Samsung S8,"Beautiful device. Item as described, brand new in untouched packaging. Set up was super easy, especially with the adapter to transfer data from my old phone.",5.0
35,Amazon,Samsung S8,Great phone & user-friendly,5.0
36,Amazon,Samsung S8,What I like the most is the overall phone and all that it offers.  I gave it two stars because it lacks the critical functionality of Wi-Fi calling.  If this unlocked phone had Wi-Fi calling the I would have given it 5 stars.,2.0
37,Amazon,Samsung S8,I have been using this for a couple of months and it really has impressed me on what it can do.  They were so many features I discovered that I did not know even existed like dual speakers and edge lighting.  This really is the best phone you can buy.,5.0
38,Amazon,Samsung S8,"The best cell phone in 2017, the battery is very good!",5.0
39,Amazon,Samsung S8,"Phone appears to be great. However, I'm missing the ear buds, and phone charger and cable . I would like amazon to send those missing items, so I can use the phone.",3.0
40,Amazon,Samsung S8,"This Galaxy s8, is wonderful, there is none like this. Picture takes  from this phone is so clear as a crystal. You can use this phone for everything from A to Z. It""s all about.",5.0
41,Amazon,Samsung S8,The phone is what I expected from Samsung...this is my third Samsung and I have been very satisfied with them all.,5.0
42,Amazon,Samsung S8,This phone is great except for the fact that the screen scratches incredibly easily.  Just going in and out of my pocket the phone shows a multitude of scratch marks running up both edges of the face and randomly across the front.  All I can say is that gorilla glass 5 is definitely not where it's at.  If the screen didn't scratch so easily I would definitely recommend this phone but because of it I would definitely wait for something else.,1.0
43,Amazon,Samsung S8,Great price and works great,5.0
44,Amazon,Samsung S8,This phone is really good as described. it fits on my hand and edge display is awesome,5.0
45,Amazon,Samsung S8,"This Phone is Unlocked for use on the Verizon Network, However Verizon has many of the Verizon based apps blocked.  This includes Verizon Voicemail, and Video calling.",2.0
46,Amazon,Samsung S8,I was looking for a new phone and stumbled upon these S8s.I bought one and so far I am not regretting it.,5.0
47,Amazon,Samsung S8,"This phone is really saying something. I think it has taken me close to being able to junk all my other devices.  It is really, really good.",5.0
48,Amazon,Samsung S8,Perfect purchase. No disappointments.. 5 stars.,5.0
49,Amazon,Samsung S8,"Don't get me wrong, the functionality of this phone is incredible. However, the phone might as well come with a broken screen. This is the first phone that I have ever broken. And within 3 months of owning it, I have broken the screen twice. Both times were low impact falls from heights of about 2 feet while sitting. Furthermore, it breaks through a case, which is even more baffling.The phone is absolutely beautiful out of the box but once it inevitably breaks, you're left with an item that you just paid $400 - $800 feeling like you're trying to wait out a contract until your next upgrade is available. It would be nice to just fix the screen that Samsung should honestly feel ashamed about but that costs $150 - $200 unless you do it yourself. And then you are right back at square one with a new fragile screen not suitable for a device that is considered ""mobile.""I plan on coughing up the deductible to file an insurance claim on the phone. Mostly because the second break occurred in a way that a shard of glass is now impressing the screen preventing me from escaping a black screen while on a phone call. It otherwise works but I cannot look at texts/internet or even hang-up while taking a call.I would strongly advise against buying this phone. Even though I enjoyed my 3 months of use, I wish I had not bought it. Its pretty disappointing that Samsung is not remedying the fagility of this phone in mass. It's comical that a purchaser needs to constantly worry about a $200 bill while using this phone in a fairly standard way. The iPhone X is also a frightening phone since it looks like the same design. I would be exceedingly hesitant to buy anything that even remotely resembles this design in the future.",1.0
50,Amazon,Samsung S8,Can't wait for the s9 to come out.,5.0
51,Amazon,Samsung S8,"Love this phone, completely unlocked. I can make a WiFi hotspot with it which is great. I use a straight talk sim card.",5.0
52,Amazon,Samsung S8,Urgent Urgent urgent! DO NOT ORDER PHONE FROM ELECTRONIC DEALS. They are not real and their phones are locked not directly from Samsung factory. Careful people.,1.0
53,Amazon,Samsung S8,"Excellent phone, keypad too sensitive.",4.0
54,Amazon,Samsung S8,Amazon came through again. No complaints EVER!,5.0
55,Amazon,Samsung S8,Everything was as expected. Nice phone.,5.0
56,Amazon,Samsung S8,Everything works well. Recommend seller,5.0
57,Amazon,Samsung S8,bought this for my son - he loves it - and the pictures he's taking are perfect,5.0
58,Amazon,Samsung S8,"As advertised, very good transaction.",5.0
59,Amazon,Samsung S8,"Item arrived as described, Fast shipping",5.0
60,Amazon,Samsung S8,Wow! love it,5.0
61,Amazon,Samsung S8,"Works great and is compatible with a pay-as-you-go plan. Camera is impressive, especially for night shots.",4.0
62,Amazon,Samsung S8,Fantastic!!,5.0
63,Amazon,Samsung S8,"No words , one of the best smart phone,  I recommend this than the iPhone s8s",5.0
64,Amazon,Samsung S8,Love it. Came in good condition. Just trying to learn all there is about it.,5.0
65,Amazon,Samsung S8,Worth,5.0
66,Amazon,Samsung S8,Phone is super fast and reliable. Screen size is perfect for work and personal usage.,5.0
67,Amazon,Samsung S8,"Does NOT work with T-Mobile, it was compatible with Verizon when I received it. Just an FYI!",1.0
68,Amazon,Samsung S8,"I know 5 people worth the S8 plus... Between the 5 of us we've had 6 (mine twice now) broken screens.  I'm very disappointed with how fragile this phone is.  Unless you get a cast that fully encases the phone and takes away the edge functionality, the phone will remain very susceptible to breakage.  Other than the screen breaking twice in two months... I love it!",1.0
69,Amazon,Samsung S8,Excellent,5.0
70,Amazon,Samsung S8,Best phone  I have had. Loved it,5.0
71,Amazon,Samsung S8,Wonderful device. Would buy from the seller again,5.0
72,Amazon,Samsung S8,I was satisfied with the design and the performance...,5.0
73,Amazon,Samsung S8,Great phone! Had zero issues linking it to Sprint.,5.0
74,Amazon,Samsung S8,Absolutely love my phone.,5.0
75,Amazon,Samsung S8,"Excelent phone, just perfect",5.0
76,Amazon,Samsung S8,No water resistant at all,3.0
77,Amazon,Samsung S8,Good phone it works with boostmobile,5.0
78,Amazon,Samsung S8,I love this phone 10 out of 10,5.0
79,Amazon,Samsung S8,"Great phone, great deal!!!",5.0
80,Amazon,Samsung S8,Good phone,5.0
81,Amazon,Samsung S8,amazing,5.0
82,Amazon,Samsung S8,love it,5.0
83,Amazon,Samsung S8,Badasss,5.0
84,Amazon,Samsung S8," The video is a three (3.5) month review review of the Samsung Galaxy S8 Plus smartphone. We take a look at the design, screen, Touch Wiz, OS, camera, video and audio playback and more. I've been using this as my daily driver and did my best to share my experience.The short version, if you don't want to watch the entire video - love it. One of the best looking phones out there with an awesome screen, camera, and overall performance. Plus it's water resistant and has tons of features.",5.0
85,Amazon,Samsung S8,The camera is great but the phone itself....negative.  The glass on this phone is very fragile.  Even in a case this phone is fragile. Most cases cannot protect the infinity screen.  Visit Samungs website and go to the community forum and look for broken screens.  I wish I had before my purchase.  I shattered the back and it is costing me $70 to repair.  And of course if there is physical damage it voids the warranty.  So use super thin glass and then sit back and collect the repair money. I guess they had to make up for the Note 7 somehow.,1.0
